mse-inside,mse_outside,const satisfaction-train,const satisfaction-test,l_1 norm,l_2 norm,l_inf norm,selected nodes,feasibility,,,,,,,,,,,,,
0.018062081,0.037800159,1,1,1.662217059,0.522356419,0.209741672,"[0, 1, 2, 3, 4]","['f', 'f']",max_weight_bound,1,cost weights,[1. 1.],06:39.8,,,,,,,,
0.018121967,0.037319485,1,1,1.710289759,0.523282827,0.209741672,"[0, 1, 2, 3, 5]","['f', 'f']",max_weight_bound,1,cost weights,[1. 1.],06:43.0,,,,,,,,
0.017799016,0.036998734,1,1,1.656587123,0.522417965,0.209741672,"[0, 1, 2, 3, 6]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],06:45.7,,,,,,,,
0.432324588,0.713513672,0.651162791,0.647058824,4.88821878,1.812737518,1.12984702,"[0, 1, 2, 3, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],06:48.4,,,,,,,,
1.036879301,0.934420764,1,1,3.725052728,1.36905378,1.086193129,"[0, 1, 2, 3, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],06:50.8,,,,,,,,
0.017633229,0.037667353,1,1,1.722137039,0.523468976,0.209741672,"[0, 1, 2, 4, 5]","['f', 'f']",max_weight_bound,1,cost weights,[1. 1.],06:59.3,,,,,,,,
0.017797973,0.037003208,1,1,1.663648694,0.522432812,0.209741672,"[0, 1, 2, 4, 6]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],07:02.3,,,,,,,,
0.432311594,0.713482559,0.651162791,0.647058824,4.895578642,1.812720272,1.129880831,"[0, 1, 2, 4, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],07:05.3,,,,,,,,
1.036852002,0.934437096,1,1,3.732181921,1.368943045,1.086135194,"[0, 1, 2, 4, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],07:08.1,,,,,,,,
0.017800879,0.036999043,1,1,1.656757466,0.52241694,0.209741672,"[0, 1, 2, 5, 6]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],07:11.0,,,,,,,,
0.432324648,0.713510156,0.651162791,0.647058824,4.888442111,1.812727089,1.12985149,"[0, 1, 2, 5, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],07:14.3,,,,,,,,
1.036907315,0.934443951,1,1,3.725232012,1.369024669,1.086174056,"[0, 1, 2, 5, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],07:17.2,,,,,,,,
0.0182319,0.037711352,1,1,1.678957558,0.522600183,0.209741672,"[0, 1, 2, 6, 7]","['f', 'f']",max_weight_bound,1,cost weights,[1. 1.],07:18.6,,,,,,,,
0.916638017,1.168472528,1,1,3.566162203,1.405097865,1.013370313,"[0, 1, 2, 6, 8]","['f', 'f']",max_weight_bound,1,cost weights,[1. 1.],07:20.4,,,,,,,,
1.331184387,1.845011115,0.651162791,0.647058824,6.797876055,2.233267131,1.129849017,"[0, 1, 2, 7, 8]","['f', 'f']",max_weight_bound,1,cost weights,[1. 1.],07:22.1,,,,,,,,
0.020184312,0.034865621,1,0.970588235,1.300447413,0.513720531,0.258350213,"[0, 1, 3, 4, 5]","['f', 'f']",max_weight_bound,1,cost weights,[1. 1.],07:38.2,,,,,,,,
0.019905785,0.034437582,1,0.970588235,1.285390745,0.513368122,0.258350213,"[0, 1, 3, 4, 6]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],07:49.7,,,,,,,,
0.397244781,0.712158322,0.662790698,0.676470588,4.540301503,1.815038772,1.134270668,"[0, 1, 3, 4, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],08:01.3,,,,,,,,
0.969975054,0.889815867,1,0.970588235,3.346029873,1.359714559,1.086208865,"[0, 1, 3, 4, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],08:12.0,,,,,,,,
0.020128248,0.034782697,1,0.970588235,1.275984454,0.513449496,0.258350213,"[0, 1, 3, 5, 6]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],08:21.4,,,,,,,,
0.39701727,0.711861193,0.662790698,0.676470588,4.530895212,1.808466794,1.131565005,"[0, 1, 3, 5, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],08:31.1,,,,,,,,
0.970002532,0.889873028,1,0.970588235,3.344679269,1.355704938,1.082159683,"[0, 1, 3, 5, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],08:40.2,,,,,,,,
0.020197848,0.034890521,1,0.970588235,1.268268966,0.513270223,0.258350213,"[0, 1, 3, 6, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],08:48.0,,,,,,,,
0.959511459,1.177959681,1,0.970588235,3.151987466,1.40088688,1.009170808,"[0, 1, 3, 6, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],08:56.4,,,,,,,,
1.337202907,1.856185079,0.662790698,0.676470588,6.406898224,2.237553255,1.135878995,"[0, 1, 3, 7, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],09:04.4,,,,,,,,
0.019802812,0.034272965,1,0.970588235,1.251622482,0.513090931,0.258350213,"[0, 1, 4, 5, 6]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],09:20.1,,,,,,,,
0.397346646,0.712285161,0.662790698,0.676470588,4.50653324,1.818105047,1.13564837,"[0, 1, 4, 5, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],09:36.0,,,,,,,,
0.969938815,0.889769733,1,0.970588235,3.308575361,1.361536533,1.088195726,"[0, 1, 4, 5, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],09:51.7,,,,,,,,
0.020194961,0.034882464,1,0.970588235,1.267759453,0.513256842,0.258350213,"[0, 1, 4, 6, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],09:59.6,,,,,,,,
0.959426343,1.177929521,1,0.970588235,3.152607576,1.401153182,1.009284593,"[0, 1, 4, 6, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],10:08.2,,,,,,,,
1.337036371,1.856036782,0.662790698,0.676470588,6.407518334,2.237580705,1.135821864,"[0, 1, 4, 7, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],10:16.2,,,,,,,,
0.020195376,0.034882173,1,0.970588235,1.266580286,0.513249316,0.258350213,"[0, 1, 5, 6, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],10:24.7,,,,,,,,
0.959380627,1.177913904,1,0.970588235,3.15141704,1.401118965,1.009326436,"[0, 1, 5, 6, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],10:33.7,,,,,,,,
1.33693099,1.855939627,0.662790698,0.676470588,6.406327798,2.237417349,1.135726094,"[0, 1, 5, 7, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],10:41.7,,,,,,,,
0.020206673,0.034882437,1,0.970588235,1.286802252,0.513387879,0.258350213,"[0, 1, 6, 7, 8]","['f', 'f']",max_weight_bound,1,cost weights,[1. 1.],10:48.6,,,,,,,,
0.021780027,0.036579154,1,0.970588235,3.78499636,1.224214194,0.569981001,"[0, 2, 3, 4, 5]","['f', 'f']",max_weight_bound,1,cost weights,[1. 1.],11:06.1,,,,,,,,
0.02138151,0.036182392,1,0.970588235,3.598932332,1.21730446,0.569981001,"[0, 2, 3, 4, 6]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],11:18.5,,,,,,,,
0.399613559,0.715636492,0.662790698,0.676470588,6.83419281,2.133283999,1.136437535,"[0, 2, 3, 4, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],11:30.7,,,,,,,,
0.971841514,0.892605305,1,0.970588235,5.668973736,1.767115638,1.100206301,"[0, 2, 3, 4, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],11:42.9,,,,,,,,
0.021001777,0.035311658,1,0.970588235,3.476978746,1.212809197,0.569981001,"[0, 2, 3, 5, 6]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],11:54.0,,,,,,,,
0.399065554,0.714616954,0.662790698,0.676470588,6.706884104,2.126994443,1.133813322,"[0, 2, 3, 5, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],12:04.8,,,,,,,,
0.971403897,0.891811311,1,0.970588235,5.547020149,1.762396027,1.097960278,"[0, 2, 3, 5, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],12:15.4,,,,,,,,
0.023846742,0.042784445,1,1,3.435213289,1.210301397,0.569981001,"[0, 2, 3, 6, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],12:24.7,,,,,,,,
0.985045016,1.207226157,0.965116279,0.911764706,5.187447683,1.8120885,1.005599596,"[0, 2, 3, 6, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],12:34.6,,,,,,,,
1.36735785,1.892260551,0.686046512,0.705882353,8.288925833,2.546420351,1.156961203,"[0, 2, 3, 7, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],12:44.1,,,,,,,,
0.021947602,0.039986677,0.965116279,0.941176471,3.347547826,1.20493189,0.569981001,"[0, 2, 4, 5, 6]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],13:00.4,,,,,,,,
0.404191703,0.72589469,0.686046512,0.705882353,6.443467128,2.157068595,1.157370687,"[0, 2, 4, 5, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],13:15.9,,,,,,,,
0.961304009,0.882667482,1,1,5.41758923,1.823503501,1.155571744,"[0, 2, 4, 5, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],13:31.1,,,,,,,,
0.023474326,0.041606709,1,1,3.520004208,1.211735035,0.569981001,"[0, 2, 4, 6, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],13:40.8,,,,,,,,
0.981818795,1.203256249,0.965116279,0.941176471,5.268662562,1.814766826,1.006614007,"[0, 2, 4, 6, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],13:51.2,,,,,,,,
1.364319921,1.889021516,0.686046512,0.705882353,8.364535849,2.54835786,1.157723665,"[0, 2, 4, 7, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],14:01.0,,,,,,,,
0.023839068,0.042767566,1,1,3.435518405,1.210306039,0.569981001,"[0, 2, 5, 6, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],14:10.8,,,,,,,,
0.985002458,1.207183003,0.965116279,0.911764706,5.187760309,1.812094859,1.005604543,"[0, 2, 5, 6, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],14:20.7,,,,,,,,
1.367332578,1.892235756,0.686046512,0.705882353,8.289236075,2.546468981,1.157026291,"[0, 2, 5, 7, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],14:30.6,,,,,,,,
0.023753688,0.042649977,1,1,3.50371484,1.210875631,0.569981001,"[0, 2, 6, 7, 8]","['f', 'f']",max_weight_bound,1,cost weights,[1. 1.],14:39.2,,,,,,,,
0.019818148,0.033849496,1,1,2.402413109,0.716751895,0.249204785,"[0, 3, 4, 5, 6]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],14:57.7,,,,,,,,
0.400095642,0.716330767,0.662790698,0.705882353,5.581686407,1.886523519,1.126231745,"[0, 3, 4, 5, 7]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],15:16.6,,,,,,,,
0.970359921,0.88796097,1,1,4.463648165,1.479485457,1.104298398,"[0, 3, 4, 5, 8]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],15:35.2,,,,,,,,
0.028734,0.052282229,1,0.970588235,3.792249847,1.208225214,0.509595096,"[0, 3, 4, 6, 7]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],15:42.3,,,,,,,,
0.985845685,1.21261394,0.953488372,0.852941176,5.520635931,1.746034879,1.021366335,"[0, 3, 4, 6, 8]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],15:49.6,,,,,,,,
1.365107179,1.89425683,0.686046512,0.705882353,8.577276069,2.515849594,1.181906819,"[0, 3, 4, 7, 8]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],15:56.9,,,,,,,,
0.021513654,0.038435992,1,1,2.109238926,0.663179427,0.270602703,"[0, 3, 5, 6, 7]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],16:03.9,,,,,,,,
0.970752299,1.19163847,0.988372093,0.941176471,3.833578659,1.409945258,0.970958509,"[0, 3, 5, 6, 8]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],16:11.4,,,,,,,,
1.351196647,1.874666929,0.686046512,0.705882353,6.919915829,2.234859785,1.105730891,"[0, 3, 5, 7, 8]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],16:18.8,,,,,,,,
0.020763585,0.0359127,1,1,1.809418704,0.622911708,0.27272784,"[0, 3, 6, 7, 8]","['nf', 'nf', 'f']",max_weight_bound,1,cost weights,[1. 1.],16:25.3,,,,,,,,
0.078553043,0.139949739,1,0.911764706,6.617569271,2.251305106,0.962950096,"[0, 4, 5, 6, 7]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],16:33.4,,,,,,,,
0.962903321,1.154639363,1,0.911764706,8.376946567,2.666441962,1.047815062,"[0, 4, 5, 6, 8]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],16:41.6,,,,,,,,
1.23558259,1.641671658,0.61627907,0.617647059,10.99749568,3.121870768,1.125050277,"[0, 4, 5, 7, 8]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],16:50.0,,,,,,,,
0.020763585,0.0359127,1,1,1.809418704,0.622911708,0.27272784,"[0, 4, 6, 7, 8]","['nf', 'nf', 'f']",max_weight_bound,1,cost weights,[1. 1.],16:56.2,,,,,,,,
0.020763585,0.0359127,1,1,1.809418704,0.622911708,0.27272784,"[0, 5, 6, 7, 8]","['nf', 'nf', 'f']",max_weight_bound,1,cost weights,[1. 1.],17:02.4,,,,,,,,
0.020696839,0.036487501,1,1,2.419153911,0.754835556,0.341457506,"[1, 2, 3, 4, 5]","['f', 'f']",max_weight_bound,1,cost weights,[1. 1.],17:20.2,,,,,,,,
0.020467622,0.035903793,1,0.941176471,2.164418374,0.743561264,0.341457506,"[1, 2, 3, 4, 6]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],17:32.5,,,,,,,,
0.400744498,0.7182284,0.686046512,0.705882353,5.275100137,1.886559854,1.108824119,"[1, 2, 3, 4, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],17:44.7,,,,,,,,
0.962807178,0.879087925,1,1,4.190838178,1.499631031,1.100268528,"[1, 2, 3, 4, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],17:57.0,,,,,,,,
0.019915869,0.034759551,1,1,2.263574147,0.747136958,0.341457506,"[1, 2, 3, 5, 6]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],18:07.5,,,,,,,,
0.400052756,0.71650058,0.674418605,0.705882353,5.418196543,1.893630859,1.12047112,"[1, 2, 3, 5, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],18:17.8,,,,,,,,
0.965159416,0.881446004,1,1,4.313287952,1.495859138,1.10257487,"[1, 2, 3, 5, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],18:28.6,,,,,,,,
0.02145806,0.03839951,1,1,2.238959967,0.746720282,0.341457506,"[1, 2, 3, 6, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],18:38.0,,,,,,,,
0.970757365,1.192315102,1,1,4.026923911,1.470329995,0.981607355,"[1, 2, 3, 6, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],18:47.5,,,,,,,,
1.350699544,1.874069691,0.686046512,0.705882353,7.121909625,2.271803966,1.105682358,"[1, 2, 3, 7, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],18:57.2,,,,,,,,
0.020430058,0.035999559,1,1,2.195237395,0.7437044,0.341457506,"[1, 2, 4, 5, 6]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],19:12.0,,,,,,,,
0.400910378,0.718461514,0.686046512,0.705882353,5.317994433,1.892623065,1.114397287,"[1, 2, 4, 5, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],19:26.7,,,,,,,,
0.962409198,0.878854632,1,1,4.232803536,1.50327163,1.105103418,"[1, 2, 4, 5, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],19:41.2,,,,,,,,
0.021169173,0.037477538,1,1,2.305691543,0.748360546,0.341457506,"[1, 2, 4, 6, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],19:50.7,,,,,,,,
0.967708707,1.188263893,1,0.970588235,4.075854775,1.466577228,0.978774823,"[1, 2, 4, 6, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],20:00.6,,,,,,,,
1.348369956,1.87113142,0.686046512,0.705882353,7.192798006,2.275835249,1.112780496,"[1, 2, 4, 7, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],20:10.2,,,,,,,,
0.021171765,0.037689831,1,1,2.252907564,0.746015524,0.341457506,"[1, 2, 5, 6, 7]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],20:19.6,,,,,,,,
0.968661964,1.189738154,1,1,4.079175661,1.481016469,0.978348292,"[1, 2, 5, 6, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],20:28.8,,,,,,,,
1.3492167,1.87199676,0.686046512,0.705882353,7.202716471,2.286800311,1.114751115,"[1, 2, 5, 7, 8]","['f', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],20:38.9,,,,,,,,
0.021303533,0.037959546,1,1,2.253689348,0.74723965,0.341457506,"[1, 2, 6, 7, 8]","['f', 'f']",max_weight_bound,1,cost weights,[1. 1.],20:47.2,,,,,,,,
0.019818148,0.033849496,1,1,2.402413109,0.716751895,0.249204785,"[1, 3, 4, 5, 6]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],21:05.9,,,,,,,,
0.400095642,0.716330767,0.662790698,0.705882353,5.581686407,1.886523519,1.126231745,"[1, 3, 4, 5, 7]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],21:24.4,,,,,,,,
0.970359921,0.88796097,1,1,4.463648165,1.479485457,1.104298398,"[1, 3, 4, 5, 8]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],21:42.5,,,,,,,,
0.028734,0.052282229,1,0.970588235,3.792249847,1.208225214,0.509595096,"[1, 3, 4, 6, 7]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],21:49.9,,,,,,,,
0.985845685,1.21261394,0.953488372,0.852941176,5.520635931,1.746034879,1.021366335,"[1, 3, 4, 6, 8]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],21:57.0,,,,,,,,
1.365107179,1.89425683,0.686046512,0.705882353,8.577276069,2.515849594,1.181906819,"[1, 3, 4, 7, 8]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],22:04.6,,,,,,,,
0.021513654,0.038435992,1,1,2.109238926,0.663179427,0.270602703,"[1, 3, 5, 6, 7]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],22:11.8,,,,,,,,
0.970752299,1.19163847,0.988372093,0.941176471,3.833578659,1.409945258,0.970958509,"[1, 3, 5, 6, 8]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],22:19.0,,,,,,,,
1.351196647,1.874666929,0.686046512,0.705882353,6.919915829,2.234859785,1.105730891,"[1, 3, 5, 7, 8]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],22:26.0,,,,,,,,
0.020763585,0.0359127,1,1,1.809418704,0.622911708,0.27272784,"[1, 3, 6, 7, 8]","['nf', 'nf', 'f']",max_weight_bound,1,cost weights,[1. 1.],22:32.4,,,,,,,,
0.078553043,0.139949739,1,0.911764706,6.617569271,2.251305106,0.962950096,"[1, 4, 5, 6, 7]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],22:40.7,,,,,,,,
0.962903321,1.154639363,1,0.911764706,8.376946567,2.666441962,1.047815062,"[1, 4, 5, 6, 8]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],22:48.8,,,,,,,,
1.23558259,1.641671658,0.61627907,0.617647059,10.99749568,3.121870768,1.125050277,"[1, 4, 5, 7, 8]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],22:56.9,,,,,,,,
0.020763585,0.0359127,1,1,1.809418704,0.622911708,0.27272784,"[1, 4, 6, 7, 8]","['nf', 'nf', 'f']",max_weight_bound,1,cost weights,[1. 1.],23:02.9,,,,,,,,
0.020763585,0.0359127,1,1,1.809418704,0.622911708,0.27272784,"[1, 5, 6, 7, 8]","['nf', 'nf', 'f']",max_weight_bound,1,cost weights,[1. 1.],23:10.2,,,,,,,,
0.019818148,0.033849496,1,1,2.402413109,0.716751895,0.249204785,"[2, 3, 4, 5, 6]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],23:29.6,,,,,,,,
0.400095642,0.716330767,0.662790698,0.705882353,5.581686407,1.886523519,1.126231745,"[2, 3, 4, 5, 7]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],23:48.2,,,,,,,,
0.970359921,0.88796097,1,1,4.463648165,1.479485457,1.104298398,"[2, 3, 4, 5, 8]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],24:06.5,,,,,,,,
0.028734,0.052282229,1,0.970588235,3.792249847,1.208225214,0.509595096,"[2, 3, 4, 6, 7]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],24:13.9,,,,,,,,
0.985845685,1.21261394,0.953488372,0.852941176,5.520635931,1.746034879,1.021366335,"[2, 3, 4, 6, 8]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],24:21.2,,,,,,,,
1.365107179,1.89425683,0.686046512,0.705882353,8.577276069,2.515849594,1.181906819,"[2, 3, 4, 7, 8]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],24:28.4,,,,,,,,
0.021513654,0.038435992,1,1,2.109238926,0.663179427,0.270602703,"[2, 3, 5, 6, 7]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],24:35.8,,,,,,,,
0.970752299,1.19163847,0.988372093,0.941176471,3.833578659,1.409945258,0.970958509,"[2, 3, 5, 6, 8]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],24:43.0,,,,,,,,
1.351196647,1.874666929,0.686046512,0.705882353,6.919915829,2.234859785,1.105730891,"[2, 3, 5, 7, 8]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],24:50.1,,,,,,,,
0.020763585,0.0359127,1,1,1.809418704,0.622911708,0.27272784,"[2, 3, 6, 7, 8]","['nf', 'nf', 'f']",max_weight_bound,1,cost weights,[1. 1.],24:56.3,,,,,,,,
0.078553043,0.139949739,1,0.911764706,6.617569271,2.251305106,0.962950096,"[2, 4, 5, 6, 7]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],25:04.7,,,,,,,,
0.962903321,1.154639363,1,0.911764706,8.376946567,2.666441962,1.047815062,"[2, 4, 5, 6, 8]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],25:12.9,,,,,,,,
1.23558259,1.641671658,0.61627907,0.617647059,10.99749568,3.121870768,1.125050277,"[2, 4, 5, 7, 8]","['nf', 'f', 'f']",max_weight_bound,1,cost weights,[1. 1.],25:21.0,,,,,,,,
0.020763585,0.0359127,1,1,1.809418704,0.622911708,0.27272784,"[2, 4, 6, 7, 8]","['nf', 'nf', 'f']",max_weight_bound,1,cost weights,[1. 1.],25:27.1,,,,,,,,
0.020763585,0.0359127,1,1,1.809418704,0.622911708,0.27272784,"[2, 5, 6, 7, 8]","['nf', 'nf', 'f']",max_weight_bound,1,cost weights,[1. 1.],25:33.4,,,,,,,,
0.020644307,0.035696819,1,1,2.493308783,0.718635952,0.249204785,"[3, 4, 5, 6, 7]","['f', 'f']",max_weight_bound,1,cost weights,[1. 1.],25:48.3,,,,,,,,
0.960043371,1.179007411,1,1,4.309906075,1.464595132,0.992723681,"[3, 4, 5, 6, 8]","['f', 'f']",max_weight_bound,1,cost weights,[1. 1.],26:02.8,,,,,,,,
1.340320706,1.861488461,0.662790698,0.705882353,7.489179373,2.278217858,1.126231745,"[3, 4, 5, 7, 8]","['f', 'f']",max_weight_bound,1,cost weights,[1. 1.],26:17.5,,,,,,,,
0.024964323,0.045303788,1,0.970588235,4.179662401,1.223687206,0.509595096,"[3, 4, 6, 7, 8]","['f', 'f']",max_weight_bound,1,cost weights,[1. 1.],26:20.9,,,,,,,,
0.021356601,0.038162738,1,1,2.192202512,0.664537393,0.270602703,"[3, 5, 6, 7, 8]","['f', 'f']",max_weight_bound,1,cost weights,[1. 1.],26:24.5,,,,,,,,
0.060726974,0.111751691,1,0.911764706,7.173197351,2.269260096,0.962950096,"[4, 5, 6, 7, 8]","['f', 'f']",max_weight_bound,1,cost weights,[1. 1.],26:28.7,,,,,,,,